best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 1051, 'depth_ratio': 4.2, 'time': 22.90426206588745, 'cx_gates': 948, 'num_gates': 1448}","{'depth': 26.26, 'depth_ratio': 0.1053, 'time': 1.113, 'cx_gates': 25.78, 'num_gates': 25.78}",sabre_v020_tree_look_10_beam_10,sabre_v020,hex_27,10
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 50.94384789466858, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 1.435, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_20_beam_10,sabre_v020,hex_27,20
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 74.46918725967407, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 3.197, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_30_beam_10,sabre_v020,hex_27,30
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 100.13297009468079, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 3.025, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_40_beam_10,sabre_v020,hex_27,40
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 119.63707208633423, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 5.604, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_50_beam_10,sabre_v020,hex_27,50
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 134.32717323303223, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 7.666, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_60_beam_10,sabre_v020,hex_27,60
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 153.8647859096527, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 10.86, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_70_beam_10,sabre_v020,hex_27,70
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 178.67196893692017, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 11.69, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_80_beam_10,sabre_v020,hex_27,80
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 213.38929414749146, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 11.71, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_90_beam_10,sabre_v020,hex_27,90
"{'depth': 1008, 'depth_ratio': 4.03, 'time': 245.78012919425964, 'cx_gates': 918, 'num_gates': 1418}","{'depth': 41.98, 'depth_ratio': 0.1676, 'time': 7.463, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_tree_look_100_beam_10,sabre_v020,hex_27,100
