best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 873, 'depth_ratio': 3.49, 'time': 784.6320171356201, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 36.11, 'depth_ratio': 0.1461, 'time': 76.0, 'cx_gates': 37.3, 'num_gates': 37.3}",sabre_v020_look_05_beam_120,sabre_v020,hex_27,120
"{'depth': 872, 'depth_ratio': 3.49, 'time': 950.7673320770264, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 24.37, 'depth_ratio': 0.09847, 'time': 104.3, 'cx_gates': 51.19, 'num_gates': 51.19}",sabre_v020_look_05_beam_130,sabre_v020,hex_27,130
"{'depth': 872, 'depth_ratio': 3.49, 'time': 1054.5985495414223, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 24.37, 'depth_ratio': 0.09847, 'time': 104.3, 'cx_gates': 51.19, 'num_gates': 51.19}",sabre_v020_look_05_beam_140,sabre_v020,hex_27,140
"{'depth': 872, 'depth_ratio': 3.49, 'time': 1239.5490542423434, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 24.37, 'depth_ratio': 0.09847, 'time': 104.3, 'cx_gates': 51.19, 'num_gates': 51.19}",sabre_v020_look_05_beam_150,sabre_v020,hex_27,150
"{'depth': 873, 'depth_ratio': 3.49, 'time': 1309.5217530727386, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 26.57, 'depth_ratio': 0.107, 'time': 96.79, 'cx_gates': 49.35, 'num_gates': 49.35}",sabre_v020_look_05_beam_160,sabre_v020,hex_27,160
"{'depth': 873, 'depth_ratio': 3.49, 'time': 1459.9003453494933, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 26.57, 'depth_ratio': 0.107, 'time': 96.79, 'cx_gates': 49.35, 'num_gates': 49.35}",sabre_v020_look_05_beam_170,sabre_v020,hex_27,170
"{'depth': 862, 'depth_ratio': 3.45, 'time': 1571.9141209125519, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 32.86, 'depth_ratio': 0.1299, 'time': 115.1, 'cx_gates': 43.86, 'num_gates': 43.86}",sabre_v020_look_05_beam_180,sabre_v020,hex_27,180
"{'depth': 862, 'depth_ratio': 3.45, 'time': 1750.4320234342122, 'cx_gates': 783, 'num_gates': 1283}","{'depth': 32.86, 'depth_ratio': 0.1299, 'time': 115.1, 'cx_gates': 43.86, 'num_gates': 43.86}",sabre_v020_look_05_beam_190,sabre_v020,hex_27,190
"{'depth': 872, 'depth_ratio': 3.49, 'time': 1863.4310342934234, 'cx_gates': 795, 'num_gates': 1295}","{'depth': 29.11, 'depth_ratio': 0.1174, 'time': 127.7, 'cx_gates': 49.27, 'num_gates': 49.27}",sabre_v020_look_05_beam_200,sabre_v020,hex_27,200
"{'depth': 872, 'depth_ratio': 3.49, 'time': 1951.5850172042847, 'cx_gates': 795, 'num_gates': 1295}","{'depth': 29.11, 'depth_ratio': 0.1174, 'time': 127.7, 'cx_gates': 49.27, 'num_gates': 49.27}",sabre_v020_look_05_beam_210,sabre_v020,hex_27,210
"{'depth': 872, 'depth_ratio': 3.49, 'time': 2109.4390424808034, 'cx_gates': 795, 'num_gates': 1295}","{'depth': 29.11, 'depth_ratio': 0.1174, 'time': 127.7, 'cx_gates': 49.27, 'num_gates': 49.27}",sabre_v020_look_05_beam_220,sabre_v020,hex_27,220
"{'depth': 872, 'depth_ratio': 3.49, 'time': 2298.9402342343234, 'cx_gates': 795, 'num_gates': 1295}","{'depth': 29.11, 'depth_ratio': 0.1174, 'time': 127.7, 'cx_gates': 49.27, 'num_gates': 49.27}",sabre_v020_look_05_beam_230,sabre_v020,hex_27,230
"{'depth': 859, 'depth_ratio': 3.44, 'time': 2435.349304849302, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_240,sabre_v020,hex_27,240
"{'depth': 859, 'depth_ratio': 3.44, 'time': 2745.432459034034, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_250,sabre_v020,hex_27,250
"{'depth': 859, 'depth_ratio': 3.44, 'time': 2953.405890433434, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_260,sabre_v020,hex_27,260
"{'depth': 859, 'depth_ratio': 3.44, 'time': 3254.540953435222, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_270,sabre_v020,hex_27,270
"{'depth': 859, 'depth_ratio': 3.44, 'time': 3569.9085043534534, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_280,sabre_v020,hex_27,280
"{'depth': 859, 'depth_ratio': 3.44, 'time': 3898.493904343434, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_290,sabre_v020,hex_27,290
"{'depth': 859, 'depth_ratio': 3.44, 'time': 4165.908942222595, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 30.25, 'depth_ratio': 0.1182, 'time': 8084.0, 'cx_gates': 48.3, 'num_gates': 48.3}",sabre_v020_look_05_beam_300,sabre_v020,hex_27,300
