best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 323, 'depth_ratio': 3.23, 'time': 322.9212989807129, 'cx_gates': 1260, 'num_gates': 1261}","{'depth': 12.08, 'depth_ratio': 0.1208, 'time': 16.47, 'cx_gates': 356.0, 'num_gates': 356.0}",sabre_v020_look_05_beam_190,sabre_v020,hex_127,190
"{'depth': 323, 'depth_ratio': 3.23, 'time': 353.18165826797485, 'cx_gates': 1260, 'num_gates': 1261}","{'depth': 12.08, 'depth_ratio': 0.1208, 'time': 18.56, 'cx_gates': 356.0, 'num_gates': 356.0}",sabre_v020_look_05_beam_200,sabre_v020,hex_127,200
"{'depth': 323, 'depth_ratio': 3.23, 'time': 367.4442160129547, 'cx_gates': 1260, 'num_gates': 1261}","{'depth': 12.08, 'depth_ratio': 0.1208, 'time': 18.25, 'cx_gates': 356.0, 'num_gates': 356.0}",sabre_v020_look_05_beam_210,sabre_v020,hex_127,210
"{'depth': 326, 'depth_ratio': 3.26, 'time': 400.2970519065857, 'cx_gates': 1257, 'num_gates': 1258}","{'depth': 13.48, 'depth_ratio': 0.1348, 'time': 18.87, 'cx_gates': 337.6, 'num_gates': 337.6}",sabre_v020_look_05_beam_220,sabre_v020,hex_127,220
"{'depth': 319, 'depth_ratio': 3.19, 'time': 446.6563687324524, 'cx_gates': 1368, 'num_gates': 1369}","{'depth': 21.5, 'depth_ratio': 0.215, 'time': 18.34, 'cx_gates': 238.6, 'num_gates': 238.6}",sabre_v020_look_05_beam_230,sabre_v020,hex_127,230
"{'depth': 327, 'depth_ratio': 3.27, 'time': 458.30836510658264, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 21.33, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_240,sabre_v020,hex_127,240
"{'depth': 327, 'depth_ratio': 3.27, 'time': 485.514417886734, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 7851.0, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_250,sabre_v020,hex_127,250
"{'depth': 327, 'depth_ratio': 3.27, 'time': 515.315135153163, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 7851.0, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_260,sabre_v020,hex_127,260
"{'depth': 327, 'depth_ratio': 3.27, 'time': 543.652626262626, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 7851.0, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_270,sabre_v020,hex_127,270
"{'depth': 327, 'depth_ratio': 3.27, 'time': 578.727254625656, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 7851.0, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_280,sabre_v020,hex_127,280
"{'depth': 327, 'depth_ratio': 3.27, 'time': 602.7246526465566, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 7851.0, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_290,sabre_v020,hex_127,290
"{'depth': 327, 'depth_ratio': 3.27, 'time': 646.3388710021973, 'cx_gates': 1287, 'num_gates': 1288}","{'depth': 13.09, 'depth_ratio': 0.1309, 'time': 23.23, 'cx_gates': 347.8, 'num_gates': 347.8}",sabre_v020_look_05_beam_300,sabre_v020,hex_127,300
